商談か？ 	 Business with the cap'n?
特技は？ 	 And why should I take on a scrag as yerself?
マスト登りだっ！ 	 I...er...'ave an eyepatch?
き、き、き、緊張する… 	 (I was goin' to say that!)
おや、あんたもお頭の海賊団に入りたいのかい？ だったら、この列の最後に並びな。 お頭に気に入られれば、海賊団に入れるよ。 - お頭の船は、リムサ・ロミンサの 守護神にして、航海の女神…… リムレーン様に愛された最強の船さ。 	 Are you hoping to join our crew? You'll have to walk to the back of the line and wait your turn with these others. Perhaps the captain'll like your face; perhaps he'll pitch you over the wall. - There are many and more willing to risk his fickle favor for a chance to serve on Llymlaen's most beloved ship.
へぇ～やるじゃん 	 I want to see him fly, Captain.
薬舗「セブンスセージ」…… 「百鬼夜行」傘下の武装商船が、 遠洋で仕入れたスパイスを扱う商店だ。 - ここの商いを仕切っているのは、 「百鬼夜行」の頭領、カルヴァラン様。 テラスにいらっしゃるエレゼン族の旦那さ。 	 The Kraken's Arms reach far and wide, carryin' back spices to sell at the Seventh Sage. - Cap'n Carvallain watches over the business 'imself, when 'e's not busy watchin' over 'is crew.
この先の酒場「永遠の乙女亭」は、 リムサ・ロミンサ三大海賊のひとつ、 「紅血聖女団」のシマだよ。 - 頭領のローズウェン様は、美しいお方さ。 すぐキレるのが、玉に瑕だけどね。 	 And what brings ye to the Missin' Member, scrag? Think ye can just waltz in an' 'obnob with the Sanguine Sirens? - Well, if yer fool enough to try, so be it. Just watch yer tongue 'round Cap'n Rhoswen! Last man that didn't? Well, 'e's a member no more, if ye catch me drift.
私たち紅血聖女団は、ローズウェン様が率いる海賊団。 リムサ・ロミンサの三大海賊団のひとつよ。 仲間になりたいのなら、もっと腕を磨くことね。 	 Cap'n Rhoswen's led the Sanguine Sirens to the top o' the food chain 'ere in Limsa. Ye want to join the meanest crew on the sea, then ye'd best bloody yer cutlass an' thicken yer 'ide.
どぅおりゃっ！！！ 	 Nnngraaahhh!
やれやれ、またか… 	 Jus' toss 'im to the sharks.
構え、撃てェー！ 	 Higher, ladies. Striking them there will only make your targets angrier.
元々、「イエロージャケット」は、 正規海軍「バラクーダ騎士団」の陸戦隊だったんだが、 霊災時に、一時的に「黒渦団」に統合されてな。 - その後、改めて再編を行い、 我ら「イエロージャケット」は治安維持部隊として、 独立したのだ。 	 The Yellowjackets used to be part of the Knights of the Barracuda, but we were swallowed into the Maelstrom during the Calamity. - Our voyage through the Maelstrom has hardened both our steel and our resolve. 
リムサ・ロミンサの治安維持部隊 「イエロージャケット」の司令部施設です。 - 我々は治安維持と犯罪対策を担っています。 苦情、通報は、お気軽にお申し付けください。 	 This is the hive of the Yellowjackets, keepers of the peace in Limsa Lominsa. - We defend the commonfolk, and they serve as our eyes and ears in turn. Order is preserved under the mandate of the people.
どういうつもりだ！？ 	 Might be a couple nights in the brig will learn you.
