マルエラク 	 Mharelak
無名 #1000874 	 Nameless #1000874
無名 #1000875 	 Nameless #1000875
無名 #1000876 	 Nameless #1000876
ヤ・ミョイ 	 Y'myhoi
無名 #1000879 	 Nameless #1000879
モーディン 	 Mordyn
オ・カルカヤ 	 O'kalkaya
ア・ブロッカ 	 A'brohka
無名 #1000928 	 Nameless #1000928
ミナデーグ 	 Mynadaeg
ズズレ 	 Zuzule
ゴードバート 	 Godebert
ギナーデ 	 Ginnade
テフ・モシュロカ 	 Tefh Moshroca
無名 #1000940 	 Nameless #1000940
無名 #1000942 	 Nameless #1000942
無名 #1000943 	 Nameless #1000943
無名 #1000953 	 Nameless #1000953
ル・スーシモ 	 R'sushmo
無名 #1000961 	 Nameless #1000961
ココラマ 	 Cocorama
満腹で苦しそうな商人 	 Satiated Shopkeep
酔っぱらった海賊 	 Pissed Pirate
メーティマガ 	 Maetimaga
無名 #1000966 	 Nameless #1000966
無名 #1000967 	 Nameless #1000967
無名 #1000968 	 Nameless #1000968
スケーンレール 	 Skaenrael
カントゥナン 	 Quentenain
無名 #1000979 	 Nameless #1000979
グレゴリー 	 Gregory
ニニヤ 	 Niniya
シンギング・ストームクラウド 	 Singing Stormcloud
ス・ホジュビ 	 S'dhodjbi
無名 #1000989 	 Nameless #1000989
無名 #1000990 	 Nameless #1000990
無名 #1000991 	 Nameless #1000991
無名 #1000992 	 Nameless #1000992
無名 #1000994 	 Nameless #1000994
無名 #1001002 	 Nameless #1001002
無名 #1001003 	 Nameless #1001003
無名 #1001004 	 Nameless #1001004
フィンヘームル 	 Pfynhaemr
無名 #1001008 	 Nameless #1001008
無名 #1001017 	 Nameless #1001017
クリンドレール 	 Klindrael
イマニア 	 Imania
無名 #1001531 	 Nameless #1001531
無名 #1001532 	 Nameless #1001532
無名 #1002077 	 Nameless #1002077
無名 #1002078 	 Nameless #1002078
ギギワズ 	 Gigiwazu
無名 #1002080 	 Nameless #1002080
無名 #1002081 	 Nameless #1002081
無名 #1002082 	 Nameless #1002082
無名 #1002083 	 Nameless #1002083
バデロン 	 Baderon
ニニヤ 	 Niniya
