……あんた、本当にまっさらな冒険者？ アマルジャのスパイ、とかじゃないわよね？ 	 Wait! Aren't you...? Ah, never mind. Carry on.
安心してね… 	 I will see you avenged...
さぁさぁ、埋葬の準備は整ったかしら？ 何か必要なら、キャンプ・ドライボーンで調達していって！ 	 Have everything you need for a proper burial? If you find yourself wanting for aught, you'll find it at Camp Drybone!
ここは墓地が近いでしょう？ だから、大切な人を亡くした遺族がたくさんいるわ。 ……あなたも、大事な人はきちんと守ることね。 	 It's the lichyard that brings so many visitors to Camp Drybone. They come to grieve and to mourn their dead. Protect those you love, friend. It's a hard thing to see them put in the ground.
死体の運搬か？ 	 Come to carry those bodies to the lichyard?
ここはザル神を祀る、聖アダマ・ランダマ教会。 以前は大富豪でもあった守護聖人、聖ランダマに あやかろうと多くの商人が訪れたものです。 - ですが、第七霊災ですべてが変わりました。 犠牲者の亡骸を受け入れるうちに、園墓だけが広がり、 今では死者の埋葬に訪れる人がほとんどです。 	 Welcome to the Church of Saint Adama Landama. Our patron saint was a wealthy man in life, and so many merchants used to come calling to pray for his favor. - But that all changed after the Calamity. Our small lichyard grew and grew as we took on the dead, and now we receive more mourners than merchants.
唯一の肉親だった妹がさ、流行り病で死んだんだ。 なんとか妹をここまで連れて来れたのはいいけど、 早くアイツを安心させてやらなきゃ……。 	 My li'l sis was the only family I had left...till the flux up and took her away, too. 'Tweren't easy, but I brung her all the way here. Now all's left is to put her to rest proper, like she deserves.
西ザナラーンの「シルバーバザー」みたいに、 時流を見失って落ちぶれるわけにはいかねぇ。 「ゴールドバザー」は俺が、金ピカに磨いていくんだ！ 	 The Golden Bazaar is on the verge of unprecedented growth thanks to the mythril deposit! Mark my words, adventurer: there's billions in it! Billions!
今は採掘師相手の商売が熱いの！ この商機、逃してなるものですかぁっ！ 	 There is no better time than now to be a miner. There are fortunes to be made, friend. Don't let this opportunity pass!
この美しい花々が生えた、不思議なグゥーブーは、 第七霊災の時にクルザスから逃れてきて、 ここで息絶えたそうだ。 - 死に物狂いで逃げてくる道中、 数々の花の種を体に付けてきたのだろう…… クルザス、黒衣森、ザナラーンの花が混生しているよ。 - 死した身体を苗床として育つ、多様な花々の芸術……。 なんという美しい生命の姿、生命の神秘！ 	 It is my belief that this goobbue was present at the Battle of Carteneau five years ago. After its rider was struck down in battle, it sought shelter from the destruction raining down from the heavens, passing through the Twelveswood before arriving here in Thanalan. - During this journey, the seeds of myriad plants came to cling to its body. Though the poor goobbue succumbed to its injuries in the end, these seeds would take root and eventually sprout from its carcass. - It's amazing to see such an amalgam of species from across Eorzea. To think that such beauty could arise from that terrible tragedy... The gods do indeed work in mysterious ways.
あんた冒険者なら、ギルドリーヴとかやるんだろう？ 聖アダマ・ランダマっつーのは、ギルドリーヴプレートの モチーフにもなってる金持ちの聖人だぜ。 - ケッ、金持ちの聖人の名がついた教会に、 金のない人々が故人を弔いにくるっつーのも、 妙な話だぜ、まったく。 	 As an adventurer, you are familiar with guildleves, yes? If so, you have likely seen our Saint Adama Landama, for his wealth and munificence were such that some guildleves now bear his likeness. - A strange state of affairs, though, that a church bearing the name of a rich saint should now be overrun with the poor who come to bury their dead.
我々不滅隊は、付近のアマルジャ族の警戒にあたっている。 アマルジャ族を見つけたら、迂闊に近寄らないようにしろ、 お前も墓地に埋められることになるぞ。 	 We Immortal Flames are stationed here to keep an eye on the Amalj'aa in the region. Should you see any, do not draw too near, lest a simple grave at the lichyard await you.
次の偵察は… 	 I'll be stayin' right here in the shade, thank you.
ひとりにしないで…！ 	 How am I to pay off your debts now, husband!?
キリがありゃしない 	 Aye. I'm not combin' the hills for bones again.
戦は絶えず、悲しみはどこかで生まれ続ける……。 それでも幸せを願うからこそ、私たちは祈るのです。 	 Ever has man sought to better his life, all too often at the expense of his brother. That desire and hope can beget suffering and death is a regrettable yet undeniable truth.
もう、旦那のピッケルが見当たらないわ……。 あーあ、採掘師の嫁になんてなるんじゃなかった、 ウルダハのお金持ちと結婚して、贅沢したかったぁ～！ 	 You haven't seen a pickaxe lying around here, have you? My oaf of a husband was out drinking with his friends, and─ - Oh, Thal take that bloody pickaxe. Should've married a merchant... 
第七霊災は太陽と審理を司るアーゼマ様の裁きであった！ 今こそ罪を告白し、導きの光を請うのだ！ 	 The Calamity was man's doing! 'Twas our sins that brought the judgment and wrath of Azeyma! Repent, and thou shalt be showered in the Warden's light!
もー、こんなしみったれた所で仕事なんてしてると、 毎日憂鬱ったらありゃしないわ。 早くお金持ちになって、ウルダハに住みたいもんよ。 	 Gods, each day I spend in this sorry excuse for a settlement is worse than the last. I can't wait until I've saved enough to move to Ul'dah!
かしこまりました 	 Very good, ma'am.
このあたりは、日差しが強烈でしてね。 行き倒れたら、あっという間に「干からびた骨」に なってしまうから、「ドライボーン」って呼ばれています。 - そうならないためにも、 しっかりと装備を整えていってくださいね。 	 The sun is as hot hands pressing down on you here. There's naught left of those who succumb to the heat but dry bones, hence the camp's name. - I don't envy you adventurers in the slightest, what with all that gear and armor you must be carrying.
掘り出し物ないかなー？ 	 Shush, dear, while I spend your coin.
早くしてくれ 	 Do we really need any more of these...whatever they are?
取り寄せておいて 	 I do not wish him to know it was I who sent the parcel.
なんだよ… 	 Might be I's lookin' to dip the wick. Ye keen?
…買うか？ 	 Let's see. We have your brown lentils, your green lentils, and...that's all.
ザル神のお導きを… 	 Make this one deep, or the jackals'll be at him.
ふむ… 	 What I wouldn't give to ride the aether straight out of this hellhole.
教会に用か？ 	 You can find supplies down in the camp.
異常なし、と 	 Where is he!? My shift was over three bells ago!
誰も見てない… 	 Nobody will miss one little lemon.
シケた所だぜ 	 To the north and west you'll find the Golden Bazaar...though it's lost its former luster.
…よォ 	 What business do you have in the barracks?
怪我はないかなぁ……僕のチョコボちゃん……。 ここは気味悪いし、早く移動したいよぉ……。 	 Soon as my girl's fit for travel, we're gone. This is no place for the living...
クエッ 	 Kweh?
んがーっ！ 	 “Let the Roegadyn carry it,” they say. Bah!
働けど働けど… 	 Let her be, you fool. We don't need the Brass Blades up here.
今度はどんな厄介ごとだ？ 	 Who let you in here!? Out! Now!
懲りねーなぁ 	 Of course you did.
また例の商人が… 	 I clove his head in two!
ゆっくりしてきな 	 I'd remind you there's no brawling in the pub, but you don't seem the listening type.
アマルジャなんて怖かねぇよ！ 	 You still talkin'?
さすがだぜ！ 	 When the fourth came I knew I was done for.
未使用：荒：会話00727 	 未使用：荒：会話00727
あんた知ってるかい？ アマルジャ族が信仰してる神様は、 地獄の火炎を巻き起こす「蛮神イフリート」だ。 - その姿を見た者は、イフリートの信徒となるか、 焼け焦げて炭になるかの二択……。 ま、どちらにせよ生きて帰ってくることはねぇな。 	 The Amalj'aa worship Ifrit─a vile being they proclaim to be the Lord of the Inferno. - They say whosoever looks upon him must choose one of two fates─to follow him for life or be burned to ash. Not much of a choice, if you ask me.
へいらっしゃい 	 Anything I can get you, love?
やってられるか～ 	 Why won't this gods- damned door open!? Hic!
休むなら是非うちで 	 Welcome to the Eternal Sleep!
ふんふ～ん♪ 	 One word about my apron and you'll be on the menu.
むにゃ… 	 Take me, Raubahn... I am your sultana... <snore>
どこだったっけ… 	 I told him Eternal Sleep wasn't the best name for an inn built under a lich- yard, but did he listen?
教会に運びましょう 	 I suggest moving him before the buzzards catch his scent.
はい… 	 How can you be so cold!?
……お静かに、ご家族がいらっしゃいます。 	 This does not concern you. Please, let her grieve in peace.
むむむ… 	 I'll catch you one day, Ness!
妙な真似はするな 	 You smell of the dead. Been to the ruins, eh?
厳しいな… 	 I don't believe there ever was any gold.
次はもっと奥を掘る 	 A fortnight of digging, and not a single onze!
クズ石はわけたよな？ 	 More rubble from the city? Over there.
気を抜くなよ 	 The dead feel no pain. Remember that when you slice off one's head.
市に活気を戻しましょう 	 The hamlet must be re- stored to its former luster!
旦那ったら… 	 He left for the ruins three suns past, but...
なんで私が… 	 The ruins are but mere malms away, yet here I stand and stir...
遺跡はロマンさ 	 The Invisible City's secrets will be mine! After I sup on some stew.
だといいけど 	 Has that blasted Roe- gadyn finished the stew?
確率は高い… 	 Why we dragged him along, I'll never know.
霊銀を必ず…！ 	 Anyone seen the blasted wench?
おうよ！ 	 Where you want these?
一攫千金だ 	 I ain't goin' back to that accursed city!
お客…お客… 	 Here by your lonesome?
み、見られてる… 	 Stay clear from them two. Gave me the crotch rot, they did!
お金…お金… 	 Might be that we could fix that...for a price.
それでね～ 	 I knew she hadn't a gil to her name!
やだ～ 	 And that silk tunic? She swiped it from a caravan!
エレザルさんったら、気分まで若返っちゃったみたい。 大地の剣を持って、意気揚々と冒険に出ちゃったものだから、 事件屋のふたりも彼についていっちゃったわ。 - ……さて、私はあのふたりと再会するまでに、 今回の事件をまとめて、記事にしなきゃ！ なにせ、次はいつ事件が起こるかわからないものね。 	 ...Thus reunited with his father's sword, Eleazar ventured forth in search of adventure. Out of concern for his well-being (or perhaps due to their own desire for adventure), Inspector Hildibrand and his assistant chose to accompany the elderly gentleman on his journey. - What wondrous experiences await them? Will Eleazar return home safely? Will the imbecile be devoured by a goobbue? Only time will tell.
ううう……遺跡の調査はワクワクするけど…… 高い所はドキドキだよ……。 	 I told them I was afraid of heights, and they had to send me here for my first field study! I say, are there no sites of archaeological interest on flat ground!?
遺跡調査は、かなりの成果をあげています。 しかし……発掘調査って結構、お金がかかるんですよ。 歴史のロマンというのは、高くつくものなのですね。 	 No matter how fruitful our research, funding is not so easily secured. Unearthing and restoring treasures of history costs good coin, and there are many who do not recognize the value of our discoveries.
巡礼者、商人、冒険者……誰であろうと、 まずは心安らかに祠を参るとよいでしょう。 きっとザル神の加護がありますよ。 	 Pilgrim, merchant, adventurer...Thal judges you not by who you are or where you hail from. Open your heart to His blessing, and you will find respite in His halls.
