よし、よし 	 Not too tight, is it, boy?
ふむふむ… 	 I believe we'll be needing another chocobo.
この奥は商店だ 	 If I catch you stealing, I'll cut off more than just your hand.
騒ぐなよ… 	 Watch yourself, adventurer.
気のせいか… 	 You hear something?
非番は明日か 	 Best you not wander far from camp... If you value your life, that is.
異常ないか… 	 Here by the aetheryte all day... When will I get to see some real fighting?
帝国兵に気をつけろ 	 Always keep an eye open. The Empire never sleeps.
食え、食え 	 Eat, man! Ye cannae right kill an imperial on an empty belly, now!
気をつけろ 	 I sharpened these myself.
足が止まってるぞ！ 	 Don't think! Feeeeeel!
帝国兵がいつ来るか… 	 Not here to relieve us, are you?
油断ならねえ 	 Don't tell the sergeant, but without my spectacles, I cannot see worth shite.
毎日が戦いさ 	 How I long to be back in Ul'dah with my wife...
おかしいところは… 	 If you had any wits about you, you'd turn back.
未使用937 	 未使用937
工場内は立入禁止だ 	 Absolutely no entry to unauthorized personnel.
んだとコラ！ 	 Yer mother was an imperial whore!
来いやぁ！ 	 Aye, and she still wouldn't take yer coin!
ふんっ、ふんっ 	 Twenty-eight, twen─ Oh! Would you stop interrupting? Now I'll have to start again!
…よし 	 You didn't happen to see a caravan on your way here, did you?
なかなかね 	 Not today. Not yester- day. Not the day before...
どうだ？ 	 Anything?
異常なし、と 	 If the imperials don't kill you, the fog will.
軸がブレてるぞ！ 	 Don't wait for your oppo- nent! Strike him down before he strikes you!
無闇に帝国軍に近づくなよ 	 Your safety cannot be guaranteed once you leave these gates.
ここは青燐精製工場だ 	 You'll find little respite beyond this gate.
護衛はまかせた 	 We're now a sennight behind schedule.
搬出予定日は… 	 The foreman'll have our arses on a stick.
ん～、早く仕事を片付けて、ウルダハに戻りたいですねぇ。 なんてったって、私はアマジナ鉱山社のエリート社員。 仕事が終われば、重役の座が約束されてますからねぇ。 	 Aaand what's he doing here, you might ask. Aaand I'd answer, a very...important...job. I do look forward to finishing it and returning to Ul'dah covered in glory─thank you, thank you...you may stop admiring me now. I've moved on.
この付近では、武器を手放さぬようご留意ください。 北方に「カストルム・メリディアヌム」があります故、 いつ何時、帝国兵が攻めこんでくるかわかりません……。 	 You'd be wise to hold fast your weapon in these parts. Castrum Meridianum bears down on us from the north, the Garleans poised to strike at a moment's notice.
帝国兵に殺された友の仇を討つため、不滅隊に入りました。 戦場に立つ道を選んだこと、一切後悔はしていません。 しかし……死の恐怖が消えることはありません。 	 A dear friend of mine died by Garlean hands, and I joined the Immortal Flames to avenge him. But now that I'm here... <gulp>
不滅なる闘志を抱き、ここの任務についています。 それでも、帝国の軍勢を目の当たりにする度に、 その圧倒的な技術力に愕然とします……。 	 I like to think that the fire in my heart burns as strongly as anyone else's. But when I behold the might of the Garleans, I can't help but be struck dumb.
死と背中合わせの毎日を送っていると、 ふと故郷に残した家族のことを思うことがあります。 ……いかんいかん、気持ちを切り替えねば。 	 It's trying, not knowing when death will finally come for you. My mind often wanders to the family I left behind.
突き指をした採掘師から、骨を折った不滅隊の兵まで、 様々な怪我人が、毎日のように担ぎ込まれてくるよ。 - でもね、どんなけが人も絶対に死なせやしない。 私は、そういう気持ちで治療にあたっているよ。 	 Every day carries its share of lumps, bumps, strains, sprains, bruises, and broken bones. - I've treated blacksmiths, goldsmiths, alchemists, botanists, armorers, leatherworkers, miners, carpenters, you name it─never lost a patient yet.
青燐泉方向における、帝国軍の動向を監視しています。 時折、青燐水を含んだ青い霧によって、 視界が真っ青になってしまいますがね。 	 I keep watch over yonder field for Garlean activity. Though half the time I can see nary ten yalms ahead for the accursed fog.
ここでの役目は単調ですが、重要なものです。 素早く危機を察知することで、戦局は大きく変化します。 だから我々は、常に緊張感を持たなければならないのです。 	 Sentry duty's mind-numbin' work at the best o' times. It takes the perseverance of a bleedin' saint to keep yer wits about ye for when ye actually need 'em.
「マーチ・オブ・アルコンズ」の最終段階は、目前と迫っている！ 北ザナラーンに滞在する全ての不滅隊兵は、 己が心の炎を、最大に燃やすのだ！！ 	 The final phase of Operation Archon is at hand! The time is come for the Immortal Flames to burn hotter and brighter than ever before!
現在、エオルゼア三国の総力をあげて 「マーチ・オブ・アルコンズ」が進行中だ。 貴様は作戦の要、頼んだぞ！ 	 Operation Archon is the most ambitious military strategy ever to be conducted on Eorzean soil, and you are its beating heart! You must not fail!
未使用 	 
未使用 	 
北に行くにつれ、兵の緊張度は大きくなっています。 なんせ、帝国軍の拠点が目と鼻の先なんですから。 	 Each step north brings us closer to the Garlean threat, and each day brings us closer to war.
ともに戦いましょう！ エオルゼアのために！ 	 We fight as one! For all Eorzeans!
