エストルラン 	 Estrelaint
無名 #1000252 	 Nameless #1000252
ナトハシオ 	 Nathaxio
無名 #1000285 	 Nameless #1000285
ザケウス 	 Zacheus
無名 #1000492 	 Nameless #1000492
無名 #1000493 	 Nameless #1000493
フロリモン 	 Florimond
ヴィクター 	 Victor
無名 #1000546 	 Nameless #1000546
無名 #1000547 	 Nameless #1000547
イスメイ 	 Ismey
無名 #1000549 	 Nameless #1000549
無名 #1000551 	 Nameless #1000551
無名 #1000552 	 Nameless #1000552
モヌ 	 Monne
無名 #1000554 	 Nameless #1000554
無名 #1000555 	 Nameless #1000555
ブレゼット 	 Blaisette
無名 #1000559 	 Nameless #1000559
ジョアシャン 	 Joacin
アミシア 	 Ameexia
無名 #1000565 	 Nameless #1000565
無名 #1000575 	 Nameless #1000575
無名 #1000577 	 Nameless #1000577
マランテル 	 Marinterre
イメディア 	 Imedia
ペリクシア 	 Pelixia
無名 #1000586 	 Nameless #1000586
イサベル・ホウソーン 	 Ysabel Hawthorne
ジュルラン 	 Jeulerand
アニウド 	 Aniud
マテオミ牙軍曹 	 Matheomi
ロサ・ホウソーン 	 Rosa Hawthorne
アイレド 	 Ayled
トナクシア 	 Tonaxia
ポニシア 	 Ponnixia
モキシア 	 Moxia
シルフ族のよろず屋 	 Sylphic Vendor
アムラン少牙士 	 Amelain
ピラルノー 	 Piralnaut
ラキシオ 	 Laxio
イダ 	 Yda
パパリモ 	 Papalymo
ケイン 	 Kain
メルウィン 	 Maerwynn
エルフレダ 	 Elfleda
無名 #1008336 	 Nameless #1008336
悪い子シルフ 	 Hostile Sylph
悪い子シルフ 	 Hostile Sylph
悪い子シルフ 	 Hostile Sylph
悪い子シルフ 	 Hostile Sylph
悪い子シルフ 	 Hostile Sylph
悪い子シルフ 	 Hostile Sylph
悪い子シルフ 	 Hostile Sylph
悪い子シルフ 	 Hostile Sylph
悪い子シルフ 	 Hostile Sylph
悪い子シルフ 	 Hostile Sylph
捕らわれたシルフ 	 Captured Sylph
捕らわれたシルフ 	 Captured Sylph
捕らわれたシルフ 	 Captured Sylph
捕らわれたシルフ 	 Captured Sylph
捕らわれたシルフ 	 Captured Sylph
捕らわれたシルフ 	 Captured Sylph
捕らわれたシルフ 	 Captured Sylph
悪い子シルフ 	 Hostile Sylph
悪い子シルフ 	 Hostile Sylph
悪い子シルフ 	 Hostile Sylph
悪い子シルフ 	 Hostile Sylph
悪い子シルフ 	 Hostile Sylph
悪い子シルフ 	 Hostile Sylph
悪い子シルフ 	 Hostile Sylph
悪い子シルフ 	 Hostile Sylph
双蛇党中牙士 	 Serpent Lieutenant
無名 #1009107 	 Nameless #1009107
無名 #1009108 	 Nameless #1009108
無名 #1009109 	 Nameless #1009109
無名 #1011011 	 Nameless #1011011
双蛇党の斥候 	 Serpent Scout
サンクレッド 	 Thancred
イダ 	 Yda
ユウギリ 	 Yugiri
ピピン 	 Pipin
