グリムバルド 	 Grimbald
ピモ・ネルハー 	 Pimoh Nelhah
キニソン 	 Kinnison
ヘラル 	 Heral
無名 #1000182 	 Nameless #1000182
無名 #1000190 	 Nameless #1000190
無名 #1000191 	 Nameless #1000191
無名 #1000192 	 Nameless #1000192
ガースシド 	 Gurthcid
アドルフォル 	 Hadrefort
マルクロル 	 Marcquelort
ウェニルド 	 Wenyld
エルフレード 	 Aelfraed
無名 #1000241 	 Nameless #1000241
無名 #1000242 	 Nameless #1000242
交易商人 リシュシュ 	 Rishushu
無名 #1000246 	 Nameless #1000246
無名 #1000247 	 Nameless #1000247
セイングレド 	 Ceinguled
無名 #1000253 	 Nameless #1000253
無名 #1000255 	 Nameless #1000255
無名 #1000256 	 Nameless #1000256
ミテニー 	 Mitainie
無名 #1000259 	 Nameless #1000259
オルトゥフェル牙兵長 	 Haurtefert
フランシス 	 Francis
ジョリーヌ 	 Jolline
ボアズロン 	 Boiselont
無名 #1000264 	 Nameless #1000264
ガエタン 	 Gaethan
無名 #1000266 	 Nameless #1000266
無名 #1000270 	 Nameless #1000270
ネモ・マイモーヴ 	 Nemoh Maimhov
無名 #1000273 	 Nameless #1000273
無名 #1000274 	 Nameless #1000274
無名 #1000275 	 Nameless #1000275
ジュニ 	 Junnie
セヴラン 	 Severaint
ノエス 	 Noes
ヤ・シュワエ 	 Y'shuwahe
セースリダ 	 Saethryda
エイリュア 	 Aeileua
フランケ 	 Francquet
無名 #1000291 	 Nameless #1000291
エテルレッド 	 Ethelred
無名 #1000298 	 Nameless #1000298
アルシュボリエル 	 Archevauliere
サミアヌ 	 Samiane
無名 #1000302 	 Nameless #1000302
無名 #1000304 	 Nameless #1000304
無名 #1000305 	 Nameless #1000305
バルナボンタン 	 Barnabontant
ウォルデュー 	 Waldew
無名 #1000316 	 Nameless #1000316
無名 #1000317 	 Nameless #1000317
無名 #1000318 	 Nameless #1000318
無名 #1000319 	 Nameless #1000319
ビディー 	 Biddy
無名 #1000322 	 Nameless #1000322
無名 #1000344 	 Nameless #1000344
無名 #1000345 	 Nameless #1000345
無名 #1000348 	 Nameless #1000348
無名 #1000349 	 Nameless #1000349
無名 #1000350 	 Nameless #1000350
無名 #1000351 	 Nameless #1000351
クマ・モシュロカ 	 Khuma Moshroca
無名 #1000356 	 Nameless #1000356
ベリ 	 Beli
グラトカント 	 Gratcant
無名 #1000361 	 Nameless #1000361
無名 #1000362 	 Nameless #1000362
革細工商人 ワービルグ 	 Werbyrgh
無名 #1000364 	 Nameless #1000364
無名 #1000365 	 Nameless #1000365
ホディン 	 Hoddyn
無名 #1000368 	 Nameless #1000368
無名 #1000369 	 Nameless #1000369
無名 #1000376 	 Nameless #1000376
無名 #1000379 	 Nameless #1000379
無名 #1000380 	 Nameless #1000380
無名 #1000383 	 Nameless #1000383
無名 #1000387 	 Nameless #1000387
無名 #1000388 	 Nameless #1000388
ミリセント 	 Millicent
アンゲラン 	 Enguerran
無名 #1000679 	 Nameless #1000679
無名 #1000680 	 Nameless #1000680
ソソバチ 	 Sosobati
セレストア 	 Celestoix
ムムナリ 	 Mumunari
無名 #1000689 	 Nameless #1000689
マロアール 	 Maroile
無名 #1000695 	 Nameless #1000695
無名 #1000697 	 Nameless #1000697
無名 #1000701 	 Nameless #1000701
無名 #1000703 	 Nameless #1000703
無名 #1000704 	 Nameless #1000704
無名 #1000706 	 Nameless #1000706
イセルトン 	 Isleton
パルセモントレ 	 Parsemontret
マユロン 	 Mayeulons
メレヌ 	 Mellaine
スタウト・エルム 	 Stout Elm
ドゥイメサン 	 Duimessand
アートル 	 Artor
双蛇党の将校 	 Serpent Officer
怪しい旅芸人 	 Shifty Thespian
ダンチョー 	 Impresario
マジックポット 	 Magic Pot
ダマリス 	 Damaris
ダマリス 	 Damaris
執事王 	 Royal Seneschal
セレン 	 Selaine
ジリ・アリアポー 	 Jihli Aliapoh
キピ・ジャッキヤ 	 Kipih Jakkya
紅蓮祭実行委員 	 Moonfire Faire Chaperone
第二分隊の隊員 	 2nd Unit Brave
第二分隊の隊員 	 2nd Unit Brave
マメット012P・プレゼンター 	 Mammet Dispensator #012P
マメット012P・プレゼンター 	 Mammet Dispensator #012P
パパリモ 	 Papalymo
執事王の使者 	 Royal Herald
真面目なエッグコレクター 	 Cock-a-hoop Collector
快活なエッグコレクター 	 Cultured Collector
