ナブディーン 	 Nahbdeen
無名 #1037732 	 Nameless #1037732
無名 #1037737 	 Nameless #1037737
無名 #1037745 	 Nameless #1037745
無名 #1037756 	 Nameless #1037756
無名 #1037765 	 Nameless #1037765
無名 #1037768 	 Nameless #1037768
無名 #1037769 	 Nameless #1037769
無名 #1037776 	 Nameless #1037776
無名 #1037777 	 Nameless #1037777
無名 #1037781 	 Nameless #1037781
クイントゥス 	 Quintus
ユルス 	 Jullus
アリゼー 	 Alisaie
ウリエンジェ 	 Urianger
グ・ラハ・ティア 	 G'raha Tia
エスティニアン 	 Estinien
アリゼー 	 Alisaie
アルフィノ 	 Alphinaud
ヤ・シュトラ 	 Y'shtola
サンクレッド 	 Thancred
ウリエンジェ 	 Urianger
グ・ラハ・ティア 	 G'raha Tia
エスティニアン 	 Estinien
チュチュト 	 Chuchuto
ココブキ 	 Cocobuki
チュチュト 	 Chuchuto
ココブキ 	 Cocobuki
ロスティック 	 Rostik
サンソン大牙士 	 Sanson
ギドゥロ 	 Guydelot
ブルーンバル 	 Broenbhar
アルカ・ゾルカ 	 Alka Zolka
アルベリク 	 Alberic
ステファニヴィアン 	 Stephanivien
チュチュト 	 Chuchuto
ココブキ 	 Cocobuki
ロスティック 	 Rostik
リセ 	 Lyse
ピピン 	 Pipin
エマネラン 	 Emmanellain
ア・ルン・センナ 	 A-Ruhn-Senna
エマネラン 	 Emmanellain
シカルド 	 Sicard
ココブキ 	 Cocobuki
ココブキ 	 Cocobuki
エフェミ 	 Ephemie
ユルス 	 Jullus
プリムス 	 Primus
無名 #1045849 	 Nameless #1045849
無名 #1045850 	 Nameless #1045850
無名 #1045851 	 Nameless #1045851
無名 #1045852 	 Nameless #1045852
ウダッディ 	 Udadhi
シーラザード 	 Shirazade
無名 #1037339 	 Nameless #1037339
メバート 	 Mehbaht
無名 #1037360 	 Nameless #1037360
無名 #1037363 	 Nameless #1037363
無名 #1037364 	 Nameless #1037364
無名 #1037375 	 Nameless #1037375
無名 #1037388 	 Nameless #1037388
