案内板に、それぞれの部屋の名前が書いてあったよ。 「実験室」もあるみたい……。 	 Going by the room labels on that map, we haven't entered any of the actual labs yet.
……やっぱり人の気配はないわね。 	 Not a single soul here besides us...
やはりここもロックがかかってますね……。 先ほどのセキュリティパスで開くといいんですが。 	 Another locked door. We could try the same card again, but...
ここが所長室に繋がる扉だね。 セキュリティパスをかざしてみよう！ 	 This must be the door to the director's office. Go on! Try the card!
ここが施設の中心で、他の部屋に行けるみてぇだな。 	 Looks like every room can be accessed from this hub.
プリザベーションに入った人も、 すぐには永久人にならなかったんだね。 生身の身体で実験したいことでもあったのかな……。 	 It seems not everyone who joined Preservation became Endless right away. There must have been research that required physical bodies.
私の両親のほかにも離反者がいたのなら、 その人たちは今何をしているのかしら……。 	 If there were others besides my parents who left Preservation, where might they be now...?
そこの読み取り機にセキュリティパスをかざしてみてください。 きっと開くはずです。 	 The scanner awaits. Hold the security card up to the panel and it should unlock the door.
この先は、どんな風になってるんだろうね。 地図をみる限り、ユウェヤーワータの研究施設よりは、 小さそうだけれど……。 	 What else do they have in this place? If I read that map right, it must be a lot smaller than the Yuweyawata facility...
ここまでカリュクスが接触してくる気配はねぇな。 気づいてねぇのか、様子を見てるのか……。 	 Calyx hasn't bothered to show his face yet, I see. Maybe he hasn't noticed us? Or maybe he's just watching...and waiting.
……あれ？  扉の照明が消えてるみたい。 	 How strange. This door is not lit up like the others.
ここでもう一度、セキュリティパスをかざすのかしら？ 	 Shouldn't the security card open this door as easily as the last one?
これは……。 読み取り機の上に注意書きがありますね。 	 Hm, what does this sign say...?
どうした、グルージャ？ 	 What is it, Gulool Ja?
戦時下のアレクサンドリアが守られたのは、 プリザベーションが開発した防衛機構のおかげでもあるから……。 それには本当に感謝してるんだ。 	 That Alexandria survived the war was in no small part thanks to the defensive measures developed by Preservation. In that regard, I shall always be grateful.
プリザベーションの構成員たちがカリュクスに心酔してたこと、 残されてる情報の端々から感じるぜ……。 	 Everything we read in this place sings Calyx's praises. The people who worked here must have truly idolized him...
よかった、扉が起動してるみたいだよ！ 	 Yes! The door has power now!
カリュクス自身が長く生きられない体だったからこそ、 永久人への想いも強かったのかしらね……。 	 Had his own body not been fated to fail him so young, would Calyx have pursued his Endless project with such fervor?
きっとこの先の部屋にも、両親の情報は残っていない。 そして、私はそれを誇っていいんだわ。 	 I don't expect to find any information on my parents in this next room, either. And that's something I can be proud of.
事前に調査できた範囲では、 この先に目当ての装置があるはずなんです。 開錠お願いしますね。 	 My earlier investigations put the data relay just past this door. Let's get it open, shall we?
クルルの話を聞いてたら、なんだかアタシまで、 ナミーカのことが懐かしくなっちまった。 これから先も、時折こうして思い出すんだろうな……。 	 Hearing Krile talk about her parents reminded me of how much I miss Namikka. I guess I'll never really get over it...
さっきの映像に映ってたデメトリオスが所長なら、 所長室は、デメトリオスの部屋ってことだよね……？ 	 If that man in the recording was Director Demetrius, then this must be his office.
離反者は始末しろって命令も、 カリュクスが出したものだったのかな……。 彼に近づいてるはずなのに、どんどんわからなくなるよ。 	 Was Calyx the one who gave orders to execute defectors? The more we learn about him, the less I understand...
うまくいってよかったわ。 さんもおつかれさま。 	 Well, that went well. Excellent clue-finding, !
やったな！ あのプレートから合言葉を見つけ出すなんて、さすがだぜ！ 	 Great work, ! Leave it to you to divine passwords from an ornamental display!
やったね！ 僕もみんなの役に立てたかな？ 	 We did it, thanks to you! And a little bit thanks to me, I hope?
まさかここで石言葉が役に立つなんて……。 私の名前も、父と母が願いを込めてつけてくれたそうなんだ。 - スフェーンの石言葉は、「永遠の光」。 民を導く希望の光であり続けられますようにって……。 もうひとりの私も、その願いに護られていたのかもしれないね。 	 Speaking of gemstone symbology... For Alexandrians, “sphene” holds the meaning of “eternal light.” - When my parents named me, it was with their wish that I become an unwavering beacon of hope for our people. To think on it now, I have ever shared that destiny with my other self.
