まだまだ使えそうだ 	 These should be good for something.
ふう… 結構重労働なんだよ 	 This is hard work even on the best days.
クハハハ、よく来た！ 鍛錬がしたいなら、兵器射爆塔を使って構わん…… そして私の人形を存分にブン殴り、技術向上に役立てるがいい！ 	 Ahahaha! So you have come. Should you wish to further your training, you need but say the word. My dummies stand ever at the ready!
おいしく育つんだぞ～ 	 That's it... Grow nice and tasty for me...
属性変換の配分は…と 	 Conversion rate looks normal.
ホバーカーゴ 買い替え時か…？ 	 Perhaps it's time we replaced our hover cargo.
積み込み数は 問題なさそうかしら…？ 	 I'm not sure all these will fit...
今日の出物は…と 	 Now for today's shipment...
君もそろそろ 外でお散歩したいのかな？ 	 Feeling brave enough to go for a walk, pretty bird?
危険な生物がキープに接近した場合を考慮して、 ここの機械兵は武装をそのままにしているんですよ。 - とはいえ、アウトスカーツも近いですから、 オブリビオンの人員で交代しながら監視しています。 ここの機体用の緊急停止コードもあるので、お任せください！ 	 We've decided to keep the soldiers here armed to drive away any wild beasts that might wander too close to Everkeep. - But seeing as how people live in the area as well, we're taking turns patrolling it. We all have the code for emergency shutdown, so we can handle any surprises.
様子を見に来たのか？ 今のところ大きな動きはないものの、 殺された住民の遺体が結局見つかってないのは気がかりだな。 	 Come to check on things? Nothing of note has transpired since you left, although the body of that citizen remains unaccounted for...
ウェ、ウェーイ！ って、なんだ、アンタだったか……。 - こんなところで俺が黄昏てたなんて、 頼むから誰にも言わないでくれよ。 パーティー野郎のイメージに関わるからな。 - 実は俺、この辺りで育ったんだ……。 疲れたときや迷ったときは、たまにここに来て、 瓦礫を拾いながら夢見てた頃に思いを馳せてるのさ……。 	 H-Hey, baby! ...Phew, it's you. - Look, don't tell anyone you found me here getting all misty-eyed, alright? My party animal image couldn't survive the blow. - Truth is, I grew up around here. When I feel overwhelmed or lost, I come back and think of the old days, when I'd gather debris and dream up silly dreams...
新たな統一王者ではないか……。 こんなところまで、負け犬の顛末でも見にきたというのか？ - まあいい、貴様には身をもって教えられたからな。 己が魔物の力に頼って闘ってきたということを……。 - 並のトレーニングでは生身の統一王者に追いつけん。 こうして、生身の駆除人として魔物を狩り続けているのだ。 	 My successor... Come all this way to see how the man you defeated fares? - I care not, for I am satisfied with the outcome of our battle. I learned firsthand how dependent I'd become on the power of feral souls. - And through our clash, I realized I would never reach your strength through ordinary training. That is why I hunt again─only by pursuing greater threats will I ascend to greater heights.
