未使用：荒：会話00841 	 未使用：荒：会話00841
未使用：荒：会話00764 	 未使用：荒：会話00764
うむ、異常なし 	 Don't let me catch you fighting with the Mhigans.
腹減った… 	 Cactuar stew again...
わかってる、そんなの… 	 No. I haven't. And you needn't bring up our heritage each time I disagree with you!
あんたも差別主義者？ 	 Come here to mock us, have ye?
ふんっ！ 	 Do not mind her. It's not that she hates you; she hates everyone.
帰る場所などとうに無い！ 	 I told ye already─ I don't have the money!
落ち着け… 	 We wouldn't want any- thing to happen to that beautiful wife of yours...
わわわ、攻撃をしないでくだサイ……。 ワタシは悪いゾンビーではありまセン。 たダ、静かに暮らしたいダケなんデス……。 - 襲いくる冒険者から必死で逃げて、 ようやく、見つけた安住の地なんデス。 そっとしておいてくだサイ……。 	 S-Stay your sword! I promise, I'm not like the others. Why, I absolutely despise the taste of adventurer brains! - Bloodthirsty adventurers, always trying to hack me limb from limb! What did we zombies ever do to them? ...Aside from the brain-eating, that is.
不滅隊の秘密特訓である！ 	 To become an Immortal Flame, you must first learn to feel the burn!
ハイッ！ 	 Can you feel it?
未使用：荒：会話00789 	 未使用：荒：会話00789
セイッ！ 	 I can feel it!
気を引き締めろ！ 	 You have your orders!
未使用：荒：会話00795 	 未使用：荒：会話00795
未使用：荒：会話00796 	 未使用：荒：会話00796
露店なら奥だ 	 The stalls you seek are down the Minotaur Malm.
ホイッ！ 	 Can you feel it?
ふざけたマネはするなよ 	 Our territory is sacred. Sully this land, and you will have offended us all.
一発命中よ！ 	 We should ask those two to join our hunting party.
さすが～！ 	 But the large one reeks of boots and sour ale.
つぎは何を獲ろうか 	 The nunh's a sop who cares not about his duty!
大きいのがいいな～ 	 But that mane!
次の獲物はね… 	 When is your next coupling, Sister?
こんな砂漠で釣り支度なんて、おかしいかい？ なかなかどうして、こういう土地では面白い獲物がね、 釣れちゃったりするものなのさ。 	 Never gone fishing in the desert? There's no difference between sand and sea once your quarry is on the hook.
敵の動きを読むの 	 Steady. Become one with the bow and guide the arrow with your soul.
え、あ、あの… 	 All this water wasted on those kittens. Shame, it is.
よく焼けよ！ 	 Make sure the beast's black on the outside, and bleedin' on the in!
スグに砂が… 	 Best keep that nonsense to yerself while the foreman's watchin'!
えっさ！ほいさ！ 	 O mighty Byregot! Lend us Your hammer!
我らは一族に伝わる、戦いの伝統を受け継ぐことが信条だ。 惰弱なる堕ちた同胞と、一緒にはせぬよう心得よ。 	 My brothers and I uphold the glory of our past, and forge ourselves in the fires of righteous battle. Do not compare us to the groveling cravens that fill the ranks of Ifrit's worshipers.
我らが使う武具は、炎より生まれたる物なれど…… 武具に命預けることと、焔神に心預けることは非なるもの。 ザンラクの惰弱者どもは、それがわかっており申さぬ。 	 The weapons we wield were born of flame, but committing one's life to one's blade is not the same as surrendering one's heart to Ifrit. The fools of Zanr'ak do not understand that simple difference.
先義後利、商いにおいて肝要なるは信義。 奇貨を得たくば、我らに誠意を示すがよい。 さすれば、ふさわしき物品をお分けいたそう。 	 You wish to trade? Show your loyalty to the Brotherhood, and through deeds of courage and glory will you earn the right to browse my wares. 
いかに我々が屈強であろうとも、休息は必要である。 よく戦い、よく休む……これぞ強さの秘訣なり。 	 
長であるハムジ・ガーの導きに従い、 武勇の民としての伝統と誇りを受け継ぎ、守っていく…… それこそが灰の一党の使命よ。 	 
意外と話せる奴らじゃないか 	 You are not what I expected...
最強の戦士たるハムジ・ガーの力は凄まじきもの。 まるで不退転の決意が、形になったようだ。 	 
強将の下に弱卒無し！ 	 The warleader commands no weaklings!
この遺跡は「カルン埋没寺院」。 古代都市ベラフディアの者らが、 日神「アーゼマ」を祀るために建てたものだ。 	 Welcome to the Sunken Temple of Qarn─or what remains of it, at least. Used by ancient Belah'dians as a place to worship the sun goddess, Azeyma, much about the temple's history remains shrouded in mystery.
冒険者ちゃん、おぃーっす。 なんか面白い魔物とか見つけたら、教えてくれよなー。 毎日サンドウォームばっか見て、飽きちゃったよー。 	 Adventurer! When you're tired of culling birds and moles, come hunt the sandworm with us!
