訓練システム 	 Training Node
清掃システム 	 Sterilization Node
保安システム 	 Safeguard Node
鎮圧システム 	 Suppression Node
研究システム 	 Research Node
保全システム 	 Life Support Node
狩猟システム 	 Tracking Node
排除システム 	 Expulsion Node
輸送システム 	 Logistics Node
監査システム 	 Auditing Node
製造システム 	 Assembly Node
拘束システム 	 Restrainment Node
管理システム 	 Administrative Node
改善システム 	 Enhancement Node
シド 	 Cid
ビッグス 	 Biggs
ウェッジ 	 Wedge
無名 #1013754 	 Nameless #1013754
無名 #1013756 	 Nameless #1013756
無名 #1013758 	 Nameless #1013758
無名 #1013760 	 Nameless #1013760
補給システム 	 Recharging Node
巡回システム 	 Surveillance Node
騎乗システム 	 Transport Node
退屈そうな帝国兵 	 Idle Imperial
ゲロルト 	 Gerolt
復元システム 	 Restoration Node
加工システム 	 Processing Node
認証システム 	 Verification Node
無名 #1024714 	 Nameless #1024714
レオファード 	 Leofard
ケット・シー 	 Cait Sith
デニア 	 Dennia
コワンティリョー 	 Cointiliaud
モニー 	 Maunie
バルナベ 	 Barnabaix
リオルフ 	 Lyolf
イオファ 	 Iofa
デニア 	 Dennia
コワンティリョー 	 Cointiliaud
モニー 	 Maunie
バルナベ 	 Barnabaix
リオルフ 	 Lyolf
イオファ 	 Iofa
無名 #1033948 	 Nameless #1033948
無名 #1033949 	 Nameless #1033949
デニア 	 Dennia
コワンティリョー 	 Cointiliaud
モニー 	 Maunie
バルナベ 	 Barnabaix
リオルフ 	 Lyolf
イオファ 	 Iofa
無名 #1017177 	 Nameless #1017177
無名 #1017180 	 Nameless #1017180
無名 #1017252 	 Nameless #1017252
無名 #1017260 	 Nameless #1017260
スタシア 	 Stacia
ウタタ 	 Utata
ロントルモン 	 Rontremont
カリボー 	 Caribault
アルミエット 	 Harmiette
シャルベロン 	 Chalberon
ロヌバヌ 	 Lonu Vanu
アヌバヌ 	 Aanu Vanu
ガヌバリ 	 Ganu Vali
ヒヌバリ 	 Hinu Vali
コヌバヌ 	 Conu Vanu
エマネラン 	 Emmanellain
オノロワ 	 Honoroit
無名 #1012361 	 Nameless #1012361
無名 #1012861 	 Nameless #1012861
ウェッジ 	 Wedge
ビッグス 	 Biggs
無名 #1013698 	 Nameless #1013698
無名 #1013735 	 Nameless #1013735
無名 #1013738 	 Nameless #1013738
無名 #1013740 	 Nameless #1013740
無名 #1013741 	 Nameless #1013741
無名 #1013742 	 Nameless #1013742
トヌバヌ 	 Tonu Vanu
無名 #1013774 	 Nameless #1013774
無名 #1013776 	 Nameless #1013776
無名 #1013778 	 Nameless #1013778
無名 #1013780 	 Nameless #1013780
無名 #1013781 	 Nameless #1013781
