ねぇ、少しお話しさせてもらってもいいかな？ 	 Excuse me, but could I have a moment of your time?
以前に訪れたときよりも、食糧事情が悪化しているようだ。 	 Seems to me there's less food to go around than the last time I was here...
話ってなんだい？ 	 Eh? What's this about?
アラガーナでは、昔の石切場の跡を利用して、 こうして横穴式の住居にしているのさ。 こう見えて、何百年モノの古株なんじゃよ。 	 When the quarry stopped providin' for us we decided to build our homes in it instead. I've seen a crack or two appear in my walls lately, but I'd still put money on this house outliving me!
姉がバイロンズブレッドに嫁いだから、 食材を融通してもらえるかもと期待したけど…… 分けるほどの収穫はないみたい。 	 When my sister first went to work at Byron's Bread I had hoped she might be able to share some of their harvest with me. Alas, it does not seem like they produce much in the first place.
俺は、ラガンフリッド村長の金勘定や、 村の話し合いのとりまとめを手伝ってるんだ。 もともと体が頑丈じゃないんでね……。 	 As I'm too weak to do any hard labor, Raganfrid tasked me with managing village affairs. It's not the most enjoyable work, but then there's little enjoyable about Ala Gannha in the first place.
こいつは、石を切り出したときに出た砂だ。 昔は、こうした山が、いくつもいくつも、 連なっていたというがね。 	 This here's the leftovers. Dust and gravel and the like. Us too, you might say. We've shaped the Peaks, and they've shaped us in turn.
お兄ちゃんたち、村の警備の訓練ごっこをしてるの。 でも、本当に悪い人が来たら、逃げたほうがいいと思うんだ……。 	 My brother over there is on the lookout for nasty people. Not really sure what he plans to do if one does happen to appear.
見つかっちゃうだろ！ 	 Get lost! They'll find me!
未だに、細々と石の注文が入ってくる。 そんときだけ、俺たちは、石切作業をしてるんだ。 	 We still receive orders for stone now and then. Though they're so few in number I can more than handle them all myself.
寂しい石切場だろ？ 採石場はふつう、もっと大人数で仕事をするもんだ。 でも、男らは出て行っちまったし、発注も少ないからな。 	 Cooking up a tasty stew to fuel our friend quarrying over there. I'd help him by taking up a pickaxe myself, but we'd end up with more stone than we could ever sell. There just isn't that much demand for it nowadays.
ああ、しんどい。 昔から、痩せた土地に作物が実るのが不思議だったけど、 ここに嫁いで、その本当の意味を知ったわ。 	 Oh, my poor back. I spend every waking hour working these rocky fields and for what? One of the most pathetic harvests I have ever seen.
俺は、戦うのが苦手でな。 土いじりが好きだったから、ここに留まったんだが…… 腹ペコで農作業ってのも、さすがに体に堪えるよ。 	 There must be some use I can find for this pile of hay...
作物の買い付けか……？ 悪いが、売れるほどの収穫はないな……。 	 I do hope you haven't come looking to buy crops. 'Fraid we've nothing to sell at the moment.
力強く育つのよ… 	 If the blight takes these, we won't last through the winter.
はぁ…石ばっかり… 	 There's more rock here than soil. It's a miracle anything grows at all.
おや、冒険者さん、ウチらに用かい？ それなら、隊長のブレイゼン・ブルックに言っておくれ。 そっちの方が、話が早いだろうからね。 	 If there's something you need, I'd suggest speaking with officer Brazen Brook. Things tend to go much more smoothly when he's involved.
むう、汚れがとれん 	 Must keep the barrels free of soot, or it'll be our heads flying come war.
住民感情に注意か… 	 Thanking them? They should be thanking us for protecting their backwood arses!
ここで、北側の監視をしている。 何か動きがあれば、すぐに把握できるからな。 	 No need to be concerned of enemy movement to the north. If anything moves even an ilm out there, we'll see it.
弱っている木を見かけなかったか？ 	 Have you seen any trees in need of attention? Sagging boughs? Rotting roots?
何が入用だ？ 仕入れを手伝ってくれれば、融通してやるよ。 	 Anything you need? Give me a hand with my stock, and I'll see about lowering my prices. 
この木箱の中には、村で買った食料品なんかが入っていた。 しかし、いくら調べても、もうほとんどが空だ。 また買い付けねばならんが、その分のギルすら残り少なくてな……。 	 These crates are─or rather, were─filled with food. I thought it'd last longer, but it looks like we're nearly out. I pray we have enough to buy more.
この子のために、 私が頑張らなくちゃ… 	 Papin, darling. Would you mind fetching your ma a skin of water?
畑仕事は堪えるのう… 	 They say the Bull tilled this very soil by dragging a ten-tonze boulder he broke from Mount Yorn.
応援は、まだか……。 ひとりじゃ、この石の山を運べそうもない……。 	 I suppose I could try dragging this stone along the ground if no one comes to help me...
