無名 #1024076 	 Nameless #1024076
無名 #1024082 	 Nameless #1024082
無名 #1024084 	 Nameless #1024084
無名 #1024085 	 Nameless #1024085
無名 #1024188 	 Nameless #1024188
無名 #1024189 	 Nameless #1024189
無名 #1024190 	 Nameless #1024190
無名 #1024191 	 Nameless #1024191
無名 #1024192 	 Nameless #1024192
無名 #1024193 	 Nameless #1024193
無名 #1024194 	 Nameless #1024194
無名 #1024195 	 Nameless #1024195
無名 #1024196 	 Nameless #1024196
無名 #1024198 	 Nameless #1024198
無名 #1024199 	 Nameless #1024199
無名 #1024202 	 Nameless #1024202
無名 #1024203 	 Nameless #1024203
無名 #1024205 	 Nameless #1024205
アルフィノ 	 Alphinaud
アリゼー 	 Alisaie
グ・ラハ・ティア 	 G'raha Tia
サンクレッド 	 Thancred
ウリエンジェ 	 Urianger
ピピン 	 Pipin
レベルチェッカー 	 Level Checker
アリゼー 	 Alisaie
ラウバーン 	 Raubahn
ヒエン 	 Hien
ユウギリ 	 Yugiri
ナナモ・ウル・ナモ 	 Nanamo Ul Namo
ピピン 	 Pipin
アイメリク 	 Aymeric
ルキア 	 Lucia
メルウィブ 	 Merlwyb
エインザル大甲将 	 Eynzahr Slafyrsyn
カヌ・エ・センナ 	 Kan-E-Senna
白蛇の守人 	 Keeper Of The Entwined Serpents
無名 #1027003 	 Nameless #1027003
無名 #1027005 	 Nameless #1027005
無名 #1027007 	 Nameless #1027007
無名 #1027010 	 Nameless #1027010
無名 #1027013 	 Nameless #1027013
無名 #1027020 	 Nameless #1027020
無名 #1027088 	 Nameless #1027088
無名 #1027092 	 Nameless #1027092
無名 #1027096 	 Nameless #1027096
無名 #1027196 	 Nameless #1027196
無名 #1027197 	 Nameless #1027197
無名 #1027200 	 Nameless #1027200
無名 #1027201 	 Nameless #1027201
無名 #1032714 	 Nameless #1032714
ウルガー・アイアンハート 	 Ulger Ironheart
アーカンバルド 	 Ercanbald
ベヴス 	 Beves
フロットマル 	 Hrotmar
コンラディン 	 Conradin
ギロー 	 Gilow
ミーク・グレン 	 Meek Glen
アーケムバルド 	 Archembald
デフニング・グレア 	 Deafening Glare
無名 #1019504 	 Nameless #1019504
無名 #1019508 	 Nameless #1019508
無名 #1019511 	 Nameless #1019511
ジャ・ケビカ 	 J'khebica
ジャ・ケビカ 	 J'khebica
無名 #1022247 	 Nameless #1022247
無名 #1022261 	 Nameless #1022261
無名 #1023434 	 Nameless #1023434
無名 #1023444 	 Nameless #1023444
無名 #1023445 	 Nameless #1023445
無名 #1023446 	 Nameless #1023446
アルファ 	 Alpha
ヴァ・マハ・ティア 	 V'mah Tia
ジャ・モルバ 	 J'moldva
アルファ 	 Alpha
ガーロンド社の調査員 	 Ironworks Hand
ウィダルゲルト 	 Widargelt
デ・ゼンツァ 	 D'zentsa
オ・チャクハ 	 O'tchakha
カカライ闘曹長 	 Kakalai
グ・ニブニパ少甲士 	 G'nibnpha
ルシヌ准牙士 	 Lucinne
無名 #1019526 	 Nameless #1019526
無名 #1019527 	 Nameless #1019527
ドドグン闘軍曹 	 Dodogun
メ・ジンジジ 	 M'zimzizi
無名 #1020812 	 Nameless #1020812
無名 #1020813 	 Nameless #1020813
メ・ギゾ 	 M'gizzoh
ガリマ 	 Garima
ナンディナ 	 Nandina
プラプティ 	 Prapti
ロチャナ 	 Lochana
マニク 	 Manik
無名 #1020828 	 Nameless #1020828
ハモー 	 Hamo
アサラ 	 Athala
チャンダニ 	 Chandani
無名 #1020834 	 Nameless #1020834
メ・ザムコ 	 M'zamqo
メ・ラエポリ 	 M'laiboli
無名 #1021564 	 Nameless #1021564
無名 #1021569 	 Nameless #1021569
無名 #1021570 	 Nameless #1021570
