あまくておいひ～い！ 	 If I eat the whole thing, I shall go “pop!”
草と花に囲まれ～♪ 今日も遊ぶよ～♪ 	 No one can fly higher than meee～♪
どっちのお花が 似合うかなぁ… 	 I wonder who pushed up these daisies?
どんなおもしろいことする！？ 	 And we'll call it “Delta Attack!”
ふんっ！ ほっ…！ 	 Oh! This is a heavy one!
いまあげるからね～ 	 Gather round, little ones.
こいつはおいしいキノコだ！ 	 Yes, better than boiling them, methinks.
どちらも上出来そうだの 	 The blue one... Or the other blue one... Hmm...
ふむふむ、興味深いぞ… 	 I am sure my eyesight is getting worse.
よい取引をしようじゃないか？ 	 A fair trade, it would seem.
元気に育つのだぞ～ 	 Slowly but surely do the mushrooms grow.
ボクの主はね… 	 As my master always used to say...
よく、おもしろいことを 思いつくなぁ… 	 And they'll never suspect a thing!
むにゃむにゃ… 	 So soft... So fluffy...
うふふ、やわらか～い！ 	 You're like a walking cloud!
うーむ、次にこさえるポークシーの鼻の穴は、どのくらいに…… すみません、いま重要な考え事をしているので、 また、後にしてください。 	 Now then, how big should I make the nostrils on this porxie? ...Hm? Please leave me be─I am in the midst of contemplating a serious matter.
この土地にいる以上、妖精に遊ばれるのは避けられない。 ウリエンジェのところに厄介になっていたときにも、 他愛のないイタズラから危険なものまで、様々やられたもんさ。 - そんな場所に、あいつは住み続けている……。 もちろん考えあってのことだが、 正直、あの寛容さは普通じゃないぞ……。 	 So long as we are in their realm, we must expect to be subjected to the faeries' mischief. Indeed, Minfilia and I have experienced more than our fair share of it. From the harmless to the downright murderous, we've seen it all. - Reasons notwithstanding, to live here for as long as Urianger has requires no small amount of forbearance. In that regard, he is a better man than I.
あっ……えっと……あの…… 「どこかへ行ってきて」というお願いならいいのですが、 「一緒に行きましょう」には、くれぐれも気をつけて……。 - もどれない場所に引き込まれるかもしれないと、 前に、ウリエンジェが教えてくれたので……。 	 If the pixies offer to take you somewhere, take them up on it at your peril. - ...That's the very first thing Urianger taught me.
風で飛ばされて、木に引っかかった花飾りを、 取ってきてほしいと頼まれたよ。 こんなとき、私も高くジャンプできたなら……。 	 I was asked to retrieve a garland from a tree branch. “The wind blew it there,” the pixie claimed. Questionable premise aside, the dragoon's jump would have been useful for this task...
私には、「木目のない木の板を持ってきて」ですって。 ……そんなもの、存在するのかしら？ 	 So, I'm supposed to bring them a plank of wood. That has no wood grain. Hah hah hah...
ここの草を数え終えたら、次はキノコの本数でも調べようかな……。 ……キノコを数えるの、もう1973回めだけど。 	 After I've finished counting the leaves, I believe I will count the mushrooms...for the one-thousand-nine-hundred-and-seventy-third time.
リダ・ラーンの方には、時折ヒトも迷い込むと聞くわ。 でも、ピクシーったら、それをすぐ草人にしてしまうそうなの！ なんの取引もせず、物言わぬ姿にするなんて信じられない！ 	 Many mortals stray into Il Mheg─mortals that could grant us patronage. But they seldom make it past Lydha Lran because the pixies turn them into leafmen first! Have they no thought for our plight!?
大柄のアマロが眠っている……。 	 An enormous amaro slumbers peacefully.
ブランデンとソールディア姫は、 空の彼方で再び出会うことができたじゃろうか。 今度こそ、ふたりだけの幸せな時を過ごしていることを願おう。 	 What awaits when one passes beyond mortality's veil, I cannot say. Nevertheless, I would like to believe that in death, Branden and Lady Sauldia have found the happiness that eluded them in life.
ガウガウガウ - 『ビー玉綺麗、ありがとう』と言っているようだ。 	 <squeal> <squeal> - It seems to be saying, “The marble is pretty. Thank you.”
ガウガウ、ガウガウ～ガウ！ - 『友だち、会えた、見つかった。ありがとう』と、 言っているようだ。 	 <squeal> <squeal> <squeal> - It seems to be saying, “I found my friends. Thank you.”
ヒトはどこかな～？ 	 Come out, come out, wherever you are!
見つけたら 何して遊ぼう？ 	 What should we do when we find them?
また飛ばしちゃえ！ 	 We send them flying! Tee hee!
そろそろ来るかな？ 	 Aaany moment now...
フーア族のやつらめ… 	 The Fuath are nothing but trouble!
ちょっとひとやすみ… 	 All this frolicking has worn me out...
やだ、怖い…！ 	 D-Don't let them eat me!
これをあげるから、許してよ～ 	 Come now, don't sulk! Here, I brought you a flower!
おおきくな～れ♪ 	 Hurry up and grow!
やウィン＝ニイたちのおかげで、 リェー・メグを今の状態に保つことができているの。 - それから、私も楽しい夢を創れるように、少しずつ練習中。 ……ティルが喜ぶから。 	 Thanks to everyone's efforts, we're able to keep Lyhe Mheg the beautiful place that it is. - For my part, I'm working on my dreamspinning skills. Creating fun dreams makes Tyr Beq happy...and that makes me happy.
ウリエンジェ もっと遊びましょ！ 	 Play with us, Urianger! Just a little longer!
ふふ…お片づけなら 任せておいて？ 	 Why tidy up now when you can do it never?
ふふっ！ お話ししましょう！ 	 Tee hee hee! Go on, go on!
困ってる姿も かわいい！ 	 Watch it fidget! How adorable!
ねえねえ！ お花は好き？ 	 Tell me, do you like flowers?
