タッソス 	 Tassos
コリンナ 	 Corinna
サララ 	 Saralla
ナシュ・マカラッカ 	 Nashu Mhakaracca
エレンヴィル 	 Erenville
ミロス 	 Milos
イサドラ 	 Isadora
ミロス 	 Milos
不安そうな市民 	 Upset Citizen
無名 #1054156 	 Nameless #1054156
神経質そうな市民 	 Disquieted Citizen
憂鬱そうな市民 	 Downcast Citizen
スフェーン 	 Sphene
クルル 	 Krile
シェール 	 Shale
グルージャ 	 Gulool Ja
ウクラマト 	 Wuk Lamat
スフェーン 	 Sphene
クルル 	 Krile
ヤ・シュトラ 	 Y'shtola
グ・ラハ・ティア 	 G'raha Tia
アルフィノ 	 Alphinaud
アリゼー 	 Alisaie
クルル 	 Krile
グ・ラハ・ティア 	 G'raha Tia
ドリアム 	 Doream
ハニー・Ｂ・ラブリー 	 Honey B. Lovely
シュガーライオット 	 Sugar Riot
ヴァンプ・ファタール 	 Vamp Fatale
ディープブルー 	 Deep Blue
レッドホット 	 Red Hot
物柔らかな女性 	 Friendly Fan
温厚な男性 	 Mild-mannered Fan
高飛車な女性 	 Haughty Fan
軽薄な男性 	 Questionable Fan
強面の男性 	 Hostile Fan
線の細い男性 	 Sensitive Fan
粗野な男性 	 Intense Fan
派手な女性 	 Flamboyant Fan
繊細な女性 	 Visionary Fan
凛とした女性 	 Dignified Fan
