ふぅ…………。 	 Phew...
う～ん… 眠い…寝ちゃおう… 	 I can barely keep my eyes open... Hmm... Time for a short nap.
床板が傷んでて 踏み抜いちゃったよ 	 My foot fell right through the damaged planks!
ここでも何か 釣れるかな～？ 	 I wonder if I'll catch anything here.
ぐんぐん育ってね～ 	 The reeds are bursting with life once again!
いい色になったな… 	 They're beautiful...
さてさて 何が釣れるかな～？ 	 What will I catch today?
エーテライトが 大嵐で壊れなくてよかった 	 Good thing the aetheryte made it through the storm in one piece.
いけいけ　どんどん 応援してるモブ～！ 	 Wonderdeeds! Keep it up!
完成が見えてきたぞ！ 	 It's all coming together!
鉱石　消費　とてとて早い 早めに補給　したいぞな！ 	 Ore disappears in an eyeblink! We need more!
人から聞いた　流行色 ピカピカキラキラ　金色ね 	 Golden glitterstones are all the rage, I've heard!
ここなら やっていけるかな… 	 This place will be good for me, I can feel it.
大物を狙うのは じっと待つのが肝心… 	 A great catch requires great patience.
息子の風魔法が 上達しなくて… 	 My son struggles to command the wind.
どうするかな、次の取引は… お前はどう思う？ 	 Where shall we strike our next deal, I wonder? What do you think?
どうぞ、どうぞ ごゆっくりお過ごしください 	 Enjoy your stay!
ぷすぅ～…ぷすすぅ～… 	 Zzz...
魔力を…高める… 瞑想…グーグー… 	 Must harness more energy... Must keep my eyes open...
ほうら、ご飯だよ～ 	 Open wide!
ついゆっくりしちゃった たまにはいいなあ、こういうの 	 <sigh> I wish I had time to unwind in a place like this...
元気そうだね～！ 	 Who's a good girl? That's right, you are!
大事な仕事だよ 設備の点検も！ 	 Regular maintenance is key to ensuring visitor safety!
う～ん、のんびりできるって いいわねえ… 	 Ahhh. This is the life...
