あれはバナナか…？ 	 A banana...?
どんな味の料理なの？ 	 And what flavor would that be?
少し付き合ってくれ 	 Come with me for a moment.
なるほど… 	 I see...
この煙は…？ 	 That smoke...
あのバクージャジャと心を交わすとは…… 我が妹ながら、無茶苦茶だ。 	 Not even I imagined that my sister would one day befriend Bakool Ja Ja...
問題はここからだぞ。 	 Now we come to the heart of it.
みんな、戸惑っているようだけれど、 バクージャジャのことは信じているみたいね。 	 Everyone looks uneasy, but their faith in Bakool Ja Ja guides them even now.
民の願いを叶えるためならば、試練が不利に働くことも厭わず、 コーナ王子に助力を求める…… ウクラマトらしいが、なかなかできることじゃないよ。 	 Wuk Lamat risks her standing in the rite to attend to her people's needs. 'Tis a degree of selflessness few can claim to share.
隕石の放つエーテルで、下の森がこうなってるんだとして…… この木が特にでけぇのは、隕石自体を取り込んでるからか？ 	 So the reason this tree grew so big is because of the meteorite's energies? 
掘削道具を持ってくるべきだったな……。 	 I should have brought better tools...
サンプルは多くあるに越したことはないわ。 でも、みんなで集めれば、あっという間よ！ 	 The more fragments we gather, the better. Let's all do what we can!
これはかなりの大きさだぞ。 エレンヴィル、手を貸してくれ。 一部を削り取るんだ。 	 Too big for our purposes, but a shard of it might do... Erenville, if you would.
……………………。 	 ......
連王から託された、この森を護ってみせる…… これがオレサマの……新しい生き方だ！ 	 The Dawnservants have charged us with protecting the forest, and protect it we will.
我らは、深い森の恵みを受けて暮らしています。 常に感謝の気持ちを忘れず、 この地に暮らす獣たちとも共存しているのですよ。 	 Living so deep in the forest, we are dependent on its blessings to survive. We try to never forget the debt of gratitude we owe, and strive to live in harmony with our surroundings.
勝負事というのは、多少なりとも本性が見えてしまうものだ！ だからこそ、楽しくもあり恐ろしくもある……そうは思わないか？ 	 Competitions bring out our true nature. That's why they're so excitin' to watch─and terrifyin', sometimes.
獣の牙ってのは、繊細なんだよ。 うまく使えば肉を切り裂く刃にもなりえるが、 手入れを怠ると、すぐに砕けてしまうからな。 	 Fangs are sharp, but delicate. In skilled hands they can cut as well as any blade, but they'll soon break if not maintained properly.
トライヨラの友達、元気かなぁ？ 次に会えたら、また対戦しようねって約束してるんだよ。 だからレアカードも集めて、もっともっと強くなってやるんだ！ 	 I wonder how my friends in Tuliyollal are doing... We promised to play Triple Triad the next time I visit, so until then I'll practice hard and collect loads of rare cards!
